timestamp,device,sensor,status,voltage_v,pressure_kpa,pkt,rssi_dbm,snr_db,raw_payload,parse_error
2026-07-12T22:56:18,esp32,PR12P210,ok,1.301,20.02,3151,-66,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.301,""pressure_kpa"":20.02,""pkt"":3151}",
2026-07-12T22:56:19,esp32,PR12P210,ok,1.262,19.05,3152,-65,9.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.262,""pressure_kpa"":19.05,""pkt"":3152}",
2026-07-12T22:56:20,esp32,PR12P210,ok,1.29,19.74,3153,-66,10.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.290,""pressure_kpa"":19.74,""pkt"":3153}",
2026-07-12T22:56:21,esp32,PR12P210,ok,1.296,19.89,3154,-66,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.296,""pressure_kpa"":19.89,""pkt"":3154}",
2026-07-12T22:56:23,esp32,PR12P210,ok,1.308,20.2,3155,-66,10.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.308,""pressure_kpa"":20.20,""pkt"":3155}",
2026-07-12T22:56:24,esp32,PR12P210,ok,1.254,18.85,3156,-65,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.254,""pressure_kpa"":18.85,""pkt"":3156}",
2026-07-12T22:56:25,esp32,PR12P210,ok,1.292,19.8,3157,-66,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.292,""pressure_kpa"":19.80,""pkt"":3157}",
2026-07-12T22:56:26,esp32,PR12P210,ok,1.299,19.96,3158,-65,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.299,""pressure_kpa"":19.96,""pkt"":3158}",
2026-07-12T22:56:27,esp32,PR12P210,ok,1.3,20.01,3159,-61,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.300,""pressure_kpa"":20.01,""pkt"":3159}",
2026-07-12T22:56:28,esp32,PR12P210,ok,1.246,18.65,3160,-62,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.246,""pressure_kpa"":18.65,""pkt"":3160}",
2026-07-12T22:56:30,esp32,PR12P210,ok,1.278,19.46,3161,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.278,""pressure_kpa"":19.46,""pkt"":3161}",
2026-07-12T22:56:31,esp32,PR12P210,ok,1.295,19.87,3162,-62,9.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.295,""pressure_kpa"":19.87,""pkt"":3162}",
2026-07-12T22:56:32,esp32,PR12P210,ok,1.289,19.74,3163,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.289,""pressure_kpa"":19.74,""pkt"":3163}",
2026-07-12T22:56:33,esp32,PR12P210,ok,1.295,19.88,3164,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.295,""pressure_kpa"":19.88,""pkt"":3164}",
2026-07-12T22:56:34,esp32,PR12P210,ok,1.295,19.87,3165,-62,10.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.295,""pressure_kpa"":19.87,""pkt"":3165}",
2026-07-12T22:56:36,esp32,PR12P210,ok,1.243,18.56,3166,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.243,""pressure_kpa"":18.56,""pkt"":3166}",
2026-07-12T22:56:37,esp32,PR12P210,ok,1.262,19.04,3167,-62,9.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.262,""pressure_kpa"":19.04,""pkt"":3167}",
2026-07-12T22:56:38,esp32,PR12P210,ok,1.29,19.75,3168,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.290,""pressure_kpa"":19.75,""pkt"":3168}",
2026-07-12T22:56:39,esp32,PR12P210,ok,1.289,19.74,3169,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.289,""pressure_kpa"":19.74,""pkt"":3169}",
2026-07-12T22:56:40,esp32,PR12P210,ok,1.298,19.94,3170,-61,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.298,""pressure_kpa"":19.94,""pkt"":3170}",
2026-07-12T22:56:42,esp32,PR12P210,ok,1.298,19.94,3171,-61,9.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.298,""pressure_kpa"":19.94,""pkt"":3171}",
2026-07-12T22:56:43,esp32,PR12P210,ok,1.28,19.5,3172,-62,9.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.280,""pressure_kpa"":19.50,""pkt"":3172}",
2026-07-12T22:56:44,esp32,PR12P210,ok,1.245,18.62,3173,-62,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.245,""pressure_kpa"":18.62,""pkt"":3173}",
2026-07-12T22:56:45,esp32,PR12P210,ok,1.282,19.56,3174,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.282,""pressure_kpa"":19.56,""pkt"":3174}",
2026-07-12T22:56:46,esp32,PR12P210,ok,1.291,19.76,3175,-62,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.291,""pressure_kpa"":19.76,""pkt"":3175}",
2026-07-12T22:56:48,esp32,PR12P210,ok,1.295,19.88,3176,-62,11.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.295,""pressure_kpa"":19.88,""pkt"":3176}",
2026-07-12T22:56:49,esp32,PR12P210,ok,1.249,18.71,3177,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.249,""pressure_kpa"":18.71,""pkt"":3177}",
2026-07-12T22:56:50,esp32,PR12P210,ok,1.271,19.27,3178,-61,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.271,""pressure_kpa"":19.27,""pkt"":3178}",
2026-07-12T22:56:51,esp32,PR12P210,ok,1.293,19.82,3179,-62,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.293,""pressure_kpa"":19.82,""pkt"":3179}",
2026-07-12T22:56:52,esp32,PR12P210,ok,1.297,19.93,3180,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.297,""pressure_kpa"":19.93,""pkt"":3180}",
2026-07-12T22:56:54,esp32,PR12P210,ok,1.239,18.48,3181,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.239,""pressure_kpa"":18.48,""pkt"":3181}",
2026-07-12T22:56:55,esp32,PR12P210,ok,1.276,19.39,3182,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.276,""pressure_kpa"":19.39,""pkt"":3182}",
2026-07-12T22:56:56,esp32,PR12P210,ok,1.294,19.86,3183,-62,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.294,""pressure_kpa"":19.86,""pkt"":3183}",
2026-07-12T22:56:57,esp32,PR12P210,ok,1.289,19.72,3184,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.289,""pressure_kpa"":19.72,""pkt"":3184}",
2026-07-12T22:56:58,esp32,PR12P210,ok,1.269,19.24,3185,-62,8.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.269,""pressure_kpa"":19.24,""pkt"":3185}",
2026-07-12T22:56:59,esp32,PR12P210,ok,1.248,18.71,3186,-62,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.248,""pressure_kpa"":18.71,""pkt"":3186}",
2026-07-12T22:57:01,esp32,PR12P210,ok,1.293,19.83,3187,-62,12.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.293,""pressure_kpa"":19.83,""pkt"":3187}",
2026-07-12T22:57:02,esp32,PR12P210,ok,1.301,20.02,3188,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.301,""pressure_kpa"":20.02,""pkt"":3188}",
2026-07-12T22:57:03,esp32,PR12P210,ok,1.309,20.23,3189,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.309,""pressure_kpa"":20.23,""pkt"":3189}",
2026-07-12T22:57:04,esp32,PR12P210,ok,1.254,18.86,3190,-61,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.254,""pressure_kpa"":18.86,""pkt"":3190}",
2026-07-12T22:57:05,esp32,PR12P210,ok,1.293,19.82,3191,-62,9.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.293,""pressure_kpa"":19.82,""pkt"":3191}",
2026-07-12T22:57:07,esp32,PR12P210,ok,1.296,19.89,3192,-61,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.296,""pressure_kpa"":19.89,""pkt"":3192}",
2026-07-12T22:57:08,esp32,PR12P210,ok,1.298,19.94,3193,-61,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.298,""pressure_kpa"":19.94,""pkt"":3193}",
2026-07-12T22:57:09,esp32,PR12P210,ok,1.264,19.1,3194,-62,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.264,""pressure_kpa"":19.10,""pkt"":3194}",
2026-07-12T22:57:10,esp32,PR12P210,ok,1.296,19.89,3195,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.296,""pressure_kpa"":19.89,""pkt"":3195}",
2026-07-12T22:57:11,esp32,PR12P210,ok,1.3,20.0,3196,-61,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.300,""pressure_kpa"":20.00,""pkt"":3196}",
2026-07-12T22:57:13,esp32,PR12P210,ok,1.251,18.77,3197,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.251,""pressure_kpa"":18.77,""pkt"":3197}",
2026-07-12T22:57:14,esp32,PR12P210,ok,1.296,19.9,3198,-61,12.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.296,""pressure_kpa"":19.90,""pkt"":3198}",
2026-07-12T22:57:15,esp32,PR12P210,ok,1.299,19.97,3199,-60,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.299,""pressure_kpa"":19.97,""pkt"":3199}",
2026-07-12T22:57:16,esp32,PR12P210,ok,1.276,19.4,3200,-62,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.276,""pressure_kpa"":19.40,""pkt"":3200}",
2026-07-12T22:57:17,esp32,PR12P210,ok,1.271,19.29,3201,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.271,""pressure_kpa"":19.29,""pkt"":3201}",
2026-07-12T22:57:19,esp32,PR12P210,ok,1.3,19.99,3202,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.300,""pressure_kpa"":19.99,""pkt"":3202}",
2026-07-12T22:57:20,esp32,PR12P210,ok,1.301,20.03,3203,-62,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.301,""pressure_kpa"":20.03,""pkt"":3203}",
2026-07-12T22:57:21,esp32,PR12P210,ok,1.246,18.64,3204,-61,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.246,""pressure_kpa"":18.64,""pkt"":3204}",
2026-07-12T22:57:22,esp32,PR12P210,ok,1.292,19.8,3205,-62,10.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.292,""pressure_kpa"":19.80,""pkt"":3205}",
2026-07-12T22:57:23,esp32,PR12P210,ok,1.296,19.89,3206,-62,10.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.296,""pressure_kpa"":19.89,""pkt"":3206}",
2026-07-12T22:57:25,esp32,PR12P210,ok,1.248,18.7,3207,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.248,""pressure_kpa"":18.70,""pkt"":3207}",
2026-07-12T22:57:26,esp32,PR12P210,ok,1.293,19.82,3208,-61,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.293,""pressure_kpa"":19.82,""pkt"":3208}",
2026-07-12T22:57:27,esp32,PR12P210,ok,1.29,19.76,3209,-61,12.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.290,""pressure_kpa"":19.76,""pkt"":3209}",
2026-07-12T22:57:28,esp32,PR12P210,ok,1.245,18.62,3210,-61,10.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.245,""pressure_kpa"":18.62,""pkt"":3210}",
2026-07-12T22:57:29,esp32,PR12P210,ok,1.295,19.88,3211,-61,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.295,""pressure_kpa"":19.88,""pkt"":3211}",
2026-07-12T22:57:30,esp32,PR12P210,ok,1.299,19.97,3212,-61,9.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.299,""pressure_kpa"":19.97,""pkt"":3212}",
2026-07-12T22:57:32,esp32,PR12P210,ok,1.27,19.25,3213,-61,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.270,""pressure_kpa"":19.25,""pkt"":3213}",
2026-07-12T22:57:33,esp32,PR12P210,ok,1.277,19.43,3214,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.277,""pressure_kpa"":19.43,""pkt"":3214}",
2026-07-12T22:57:34,esp32,PR12P210,ok,1.296,19.9,3215,-62,10.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.296,""pressure_kpa"":19.90,""pkt"":3215}",
2026-07-12T22:57:35,esp32,PR12P210,ok,1.299,19.98,3216,-62,10.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.299,""pressure_kpa"":19.98,""pkt"":3216}",
2026-07-12T22:57:36,esp32,PR12P210,ok,1.251,18.78,3217,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.251,""pressure_kpa"":18.78,""pkt"":3217}",
2026-07-12T22:57:38,esp32,PR12P210,ok,1.285,19.62,3218,-61,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.285,""pressure_kpa"":19.62,""pkt"":3218}",
2026-07-12T22:57:39,esp32,PR12P210,ok,1.295,19.88,3219,-61,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.295,""pressure_kpa"":19.88,""pkt"":3219}",
2026-07-12T22:57:40,esp32,PR12P210,ok,1.305,20.12,3220,-62,10.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.305,""pressure_kpa"":20.12,""pkt"":3220}",
2026-07-12T22:57:41,esp32,PR12P210,ok,1.247,18.68,3221,-62,9.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.247,""pressure_kpa"":18.68,""pkt"":3221}",
2026-07-12T22:57:42,esp32,PR12P210,ok,1.29,19.74,3222,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.290,""pressure_kpa"":19.74,""pkt"":3222}",
2026-07-12T22:57:44,esp32,PR12P210,ok,1.302,20.04,3223,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.302,""pressure_kpa"":20.04,""pkt"":3223}",
2026-07-12T22:57:45,esp32,PR12P210,ok,1.301,20.02,3224,-62,9.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.301,""pressure_kpa"":20.02,""pkt"":3224}",
2026-07-12T22:57:46,esp32,PR12P210,ok,1.248,18.7,3225,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.248,""pressure_kpa"":18.70,""pkt"":3225}",
2026-07-12T22:57:47,esp32,PR12P210,ok,1.288,19.69,3226,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.288,""pressure_kpa"":19.69,""pkt"":3226}",
2026-07-12T22:57:48,esp32,PR12P210,ok,1.293,19.83,3227,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.293,""pressure_kpa"":19.83,""pkt"":3227}",
2026-07-12T22:57:50,esp32,PR12P210,ok,1.294,19.85,3228,-61,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.294,""pressure_kpa"":19.85,""pkt"":3228}",
2026-07-12T22:57:51,esp32,PR12P210,ok,1.294,19.84,3229,-61,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.294,""pressure_kpa"":19.84,""pkt"":3229}",
2026-07-12T22:57:52,esp32,PR12P210,ok,1.25,18.75,3230,-62,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.250,""pressure_kpa"":18.75,""pkt"":3230}",
2026-07-12T22:57:53,esp32,PR12P210,ok,1.274,19.36,3231,-62,10.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.274,""pressure_kpa"":19.36,""pkt"":3231}",
2026-07-12T22:57:54,esp32,PR12P210,ok,1.294,19.86,3232,-62,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.294,""pressure_kpa"":19.86,""pkt"":3232}",
2026-07-12T22:57:56,esp32,PR12P210,ok,1.295,19.86,3233,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.295,""pressure_kpa"":19.86,""pkt"":3233}",
2026-07-12T22:57:57,esp32,PR12P210,ok,1.293,19.81,3234,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.293,""pressure_kpa"":19.81,""pkt"":3234}",
2026-07-12T22:57:58,esp32,PR12P210,ok,1.263,19.08,3235,-62,10.50,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.263,""pressure_kpa"":19.08,""pkt"":3235}",
2026-07-12T22:57:59,esp32,PR12P210,ok,1.242,18.55,3236,-61,10.25,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.242,""pressure_kpa"":18.55,""pkt"":3236}",
2026-07-12T22:58:00,esp32,PR12P210,ok,1.263,19.07,3237,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.263,""pressure_kpa"":19.07,""pkt"":3237}",
2026-07-12T22:58:01,esp32,PR12P210,ok,1.295,19.88,3238,-62,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.295,""pressure_kpa"":19.88,""pkt"":3238}",
2026-07-12T22:58:03,esp32,PR12P210,ok,1.293,19.84,3239,-61,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.293,""pressure_kpa"":19.84,""pkt"":3239}",
2026-07-12T22:58:04,esp32,PR12P210,ok,1.296,19.9,3240,-62,10.00,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.296,""pressure_kpa"":19.90,""pkt"":3240}",
2026-07-12T22:58:05,esp32,PR12P210,ok,1.296,19.9,3241,-61,9.75,"{""device"":""esp32"",""sensor"":""PR12P210"",""status"":""ok"",""voltage"":1.296,""pressure_kpa"":19.90,""pkt"":3241}",
