timestamp,upper_tank_pct,pressure_kpa,sensor_voltage,sensor_status,lora_rssi,lora_snr,pump_current_a,mains_voltage_v,pump_relay,decision_action,decision_state,decision_reason
2026-07-12T01:00:42.450728,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:43.875322,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:45.448826,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:46.699060,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:48.207369,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:49.909561,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:51.781860,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:53.256255,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:54.683201,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:56.507806,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:57.940723,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:00:59.355364,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:01:01.197787,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:01:03.133548,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:01:04.886239,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:01:06.210206,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:01:07.434936,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:01:08.710338,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:01:10.293819,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:01:12.214268,,,,,,,,,OFF,OFF,OFF_LORA_TIMEOUT,No valid LoRa packet received yet
2026-07-12T01:01:14.924236,0.0,4.74,0.689,ok,-61,10.00,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:16.855606,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:18.415594,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:21.220899,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:24.131671,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:25.417602,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:26.995957,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:29.377660,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:31.129412,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:33.312951,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:35.320220,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:37.164060,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:38.791106,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:40.229274,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:41.914213,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:43.445212,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:45.505233,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:47.091916,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:48.763914,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:50.324012,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:52.043407,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:53.851579,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:56.238297,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:57.998971,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:01:59.693090,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:02:01.020983,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:02:02.240624,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:02:03.784116,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:02:05.660788,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:02:07.192785,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:02:08.876830,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:02:10.537890,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:02:12.071696,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:02:14.081473,0.0,4.74,0.689,ok,,,,,ON,ON,ON_EMERGENCY,Upper tank CRITICAL LOW 0.0% ≤ 10%
2026-07-12T01:02:15.390930,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (61s old)
2026-07-12T01:02:16.422315,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (62s old)
2026-07-12T01:02:17.450331,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (63s old)
2026-07-12T01:02:18.481298,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (64s old)
2026-07-12T01:02:19.567766,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (65s old)
2026-07-12T01:02:20.619699,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (66s old)
2026-07-12T01:02:21.633394,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (67s old)
2026-07-12T01:02:22.644543,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (68s old)
2026-07-12T01:02:23.656803,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (69s old)
2026-07-12T01:02:24.668620,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (70s old)
2026-07-12T01:02:25.679479,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (71s old)
2026-07-12T01:02:26.699194,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (72s old)
2026-07-12T01:02:27.709512,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (73s old)
2026-07-12T01:02:28.729505,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (74s old)
2026-07-12T01:02:29.738662,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (75s old)
2026-07-12T01:02:30.751452,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (76s old)
